ООО КСК ТРЕЙД Тс017012-25 26.01.2025 Кагриев 17287кг.pdf
('SU000722кг', ['10,00', '113.786'], '108,986')
('SU001485шт', ['50,00', '210.500'], '500,000')
('SU002829кг', ['34,00', '377.154'], '362,364')
('SU002815шт', ['70,00', '329.700'], '700,000')
('SU002828кг', ['7,00', '78.411'], '75,366')
('SU002814шт', ['50,00', '144.000'], '300,000')
('SU003027шт', ['17,00', '33.014'], '102,000')
('SU003029шт', ['5,00', '9.740'], '30,000')
('SU003031шт', ['17,00', '33.014'], '102,000')
('SU002835кг', ['2,00', '17.580'], '16,374')
('SU002830кг', ['14,00', '158.726'], '152,636')
('SU002816шт', ['9,00', '42.390'], '90,000')
('SU002816шт', ['101,00', '475.710'], '1_010,000')
('SU001523кг', ['12,00', '110.453'], '103,217')
('SU001718шт', ['184,00', '540.960'], '1_104,000')
('SU002734шт', ['110,00', '518.100'], '1_100,000')
('SU002833кг', ['7,00', '78.539'], '75,494')
('SU001721кг', ['57,00', '530.277'], '501,378')
('SU001720шт', ['184,00', '540.840'], '1_104,000')
('SU003336шт', ['20,00', '41.040'], '120,000')
('SU002367шт', ['10,00', '22.200'], '60,000')
('SU002983шт', ['22,00', '74.800'], '176,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['24,00', '69.504'], '192,000')
('SU002756кг', ['12,00', '54.819'], '51,795')
('SU002876кг', ['5,00', '22.580'], '21,290')
('SU002847кг', ['15,00', '68.233'], '64,363')
('SU002660шт', ['50,00', '112.400'], '300,000')
('SU002877шт', ['50,00', '112.400'], '300,000')
('SU002848шт', ['75,00', '167.700'], '450,000')
('SU002941кг', ['21,00', '108.643'], '102,973')
('SU002943кг', ['15,00', '77.149'], '73,099')
('SU002945кг', ['32,00', '163.703'], '155,063')
('SU002947кг', ['17,00', '87.320'], '82,730')
('SU002944шт', ['37,00', '71.854'], '222,000')
('SU002942шт', ['19,00', '36.898'], '114,000')
('SU002946шт', ['20,00', '38.840'], '120,000')
('SU002948шт', ['15,00', '29.130'], '90,000')
('SU002725кг', ['19,00', '171.469'], '161,836')
('SU002842шт', ['134,00', '353.760'], '804,000')
('SU002618шт', ['134,00', '348.144'], '804,000')
('SU002686шт', ['40,00', '103.818'], '240,000')
('SU002844шт', ['100,00', '264.000'], '600,000')
('SU002759шт', ['14,00', '36.960'], '84,000')
('SU002758шт', ['15,00', '39.600'], '90,000')
('SU003273кг', ['3,00', '35.992'], '34,687')
('SU003271кг', ['3,00', '35.822'], '34,517')
('SU003274шт', ['10,00', '42.100'], '100,000')
('SU003272шт', ['14,00', '58.940'], '140,000')
('SU002801шт', ['55,00', '145.200'], '330,000')
('SU002799шт', ['92,00', '242.328'], '552,000')
('SU002617шт', ['134,00', '301.232'], '804,000')
('SU003392кг', ['1,00', '11.127'], '10,692')
('SU001051кг', ['6,00', '50.676'], '47,634')
('SU000227кг', ['38,00', '326.939'], '307,673')
('SU001430кг', ['2,00', '17.768'], '16,754')
('SU002252шт', ['5,00', '10.140'], '30,000')
('SU003167шт', ['417,00', '973.278'], '2_502,000')
('SU003168шт', ['117,00', '272.376'], '702,000')
('SU003422кг', ['80,00', '1.240.358'], '1_201,958')
('SU003423кг', ['67,00', '1.034.624'], '1_002,464')
('SU000251кг', ['14,00', '216.147'], '209,427')
('SU003420кг', ['140,00', '2.168.238'], '2_101,038')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['115,00', '1.776.510'], '1_721,310')
('SU000246кг', ['4,00', '37.434'], '35,022')
('SU002287кг', ['5,00', '48.575'], '46,040')
('SU002614кг', ['4,00', '22.739'], '21,659')
('SU002538шт', ['9,00', '20.232'], '54,000')
('SU002602шт', ['5,00', '11.240'], '30,000')
('SU002606шт', ['25,00', '56.200'], '150,000')
('SU002612кг', ['2,00', '11.194'], '10,654')
('SU002604шт', ['4,00', '8.968'], '24,000')
('SU003345шт', ['5,00', '6.800'], '30,000')
('SU003344шт', ['4,00', '5.440'], '24,000')
('SU003342шт', ['9,00', '12.960'], '54,000')
('SU003505шт', ['25,00', '46.000'], '150,000')
('SU002011кг', ['19,00', '107.610'], '100,770')
('SU002010кг', ['25,00', '141.178'], '132,178')
('SU002634кг', ['20,00', '108.249'], '101,049')
('SU002632шт', ['22,00', '83.820'], '132,000')
('SU002631шт', ['31,00', '156.240'], '248,000')
('SU002035кг', ['17,00', '95.683'], '89,563')
('SU002150кг', ['12,00', '67.598'], '63,278')
('SU002158кг', ['10,00', '56.588'], '52,988')
('SU002151кг', ['21,00', '118.380'], '110,820')
('SU002916шт', ['12,00', '60.120'], '96,000')
('SU002919шт', ['3,00', '15.030'], '24,000')
('SU002918шт', ['15,00', '75.150'], '120,000')
('SU002655кг', ['100,00', '860.324'], '809,624')

