ООО НВ Тс020021-25 27.01.2025 Митин 6468кг.pdf
('SU003599шт', ['42,00', '70.560'], '252,000')
('SU002760шт', ['42,00', '70.560'], '252,000')
('SU002762шт', ['42,00', '70.560'], '252,000')
('SU002320шт', ['24,00', '150.480'], '192,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU002708шт', ['60,00', '445.800'], '480,000')
('SU002707шт', ['36,00', '255.960'], '576,000')
('SU002838шт', ['60,00', '445.800'], '480,000')
('SU003593шт', ['70,00', '267.400'], '840,000')
('SU002563шт', ['42,00', '160.440'], '504,000')
('SU003608шт', ['28,00', '106.960'], '336,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU002293шт', ['28,00', '123.760'], '392,000')
('SU002627шт', ['84,00', '624.120'], '672,000')
('SU003528шт', ['36,00', '238.680'], '576,000')
('SU003459шт', ['84,00', '607.320'], '840,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU003596шт', ['42,00', '135.240'], '504,000')
('SU002668шт', ['98,00', '182.280'], '588,000')
('SU002516шт', ['70,00', '225.400'], '840,000')
('SU002514шт', ['70,00', '225.400'], '840,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU003145шт', ['36,00', '209.880'], '288,000')
('SU003077шт', ['36,00', '209.880'], '288,000')
('SU002268шт', ['84,00', '439.320'], '420,000')
('SU003319шт', ['48,00', '347.040'], '480,000')
('SU003320шт', ['48,00', '347.040'], '480,000')
('SU003383шт', ['28,00', '80.640'], '252,000')

ООО НВ Тс020028-25 27.01.2025 Митин 6056кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU002760шт', ['14,00', '23.520'], '84,000')
('SU002762шт', ['28,00', '47.040'], '168,000')
('SU002838шт', ['36,00', '267.480'], '288,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['204,00', '1.063.452'], '1_020,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002564шт', ['84,00', '320.880'], '1_008,000')
('SU003608шт', ['42,00', '160.440'], '504,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['42,00', '160.440'], '504,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['36,00', '119.160'], '792,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['48,00', '318.240'], '768,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['72,00', '374.400'], '360,000')
('SU002516шт', ['56,00', '180.320'], '672,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['24,00', '125.520'], '120,000')
('SU003020кг', ['24,00', '149.520'], '144,000')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003382шт', ['14,00', '40.320'], '126,000')

