ООО НВ Тс024882-25 04.02.2025 Вьюшкову 12060кг.pdf
('SU003599шт', ['140,00', '235.200'], '840,000')
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU002760шт', ['140,00', '235.200'], '840,000')
('SU002762шт', ['140,00', '235.200'], '840,000')
('SU002708шт', ['84,00', '624.120'], '672,000')
('SU002838шт', ['84,00', '624.120'], '672,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU002595кг', ['288,00', '1.501.344'], '1_440,000')
('SU002563шт', ['70,00', '267.400'], '840,000')
('SU002564шт', ['55,00', '210.100'], '660,000')
('SU003608шт', ['70,00', '267.400'], '840,000')
('SU003609шт', ['70,00', '267.400'], '840,000')
('SU003594шт', ['70,00', '267.400'], '840,000')
('SU003604шт', ['70,00', '267.400'], '840,000')
('SU002293шт', ['70,00', '309.400'], '980,000')
('SU002627шт', ['84,00', '624.120'], '672,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU003384шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['31,00', '99.820'], '372,000')
('SU003576шт', ['39,00', '125.580'], '468,000')
('SU000194шт', ['70,00', '225.400'], '840,000')
('SU000195шт', ['70,00', '225.400'], '840,000')
('SU002176шт', ['72,00', '129.600'], '576,000')
('SU002177шт', ['72,00', '152.640'], '576,000')
('SU002668шт', ['56,00', '104.160'], '336,000')
('SU002396кг', ['144,00', '748.800'], '720,000')
('SU002314кг', ['144,00', '748.800'], '720,000')
('SU000197кг', ['144,00', '748.800'], '720,000')
('SU002335кг', ['84,00', '439.320'], '420,000')
('SU002532кг', ['145,00', '754.000'], '725,000')
('SU002483кг', ['144,00', '748.800'], '720,000')

