ООО НВ Тс031610-25 11.02.2025 Брыжахин 4085кг.pdf Луганск +
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU002903шт', ['28,00', '47.040'], '168,000')
('SU002762шт', ['14,00', '23.520'], '84,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['192,00', '1.000.896'], '960,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU002570шт', ['24,00', '79.440'], '528,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003632шт', ['28,00', '80.640'], '840,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU003259шт', ['24,00', '139.920'], '192,000')
('SU003067шт', ['36,00', '209.880'], '288,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['108,00', '205.200'], '194,400')
('SU003012кг', ['42,00', '120.960'], '113,400')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003439кг', ['154,00', '597.520'], '569,800')

ООО НВ Тс031602-25 11.02.2025 Брыжахин 3631кг.pdf Мелитополь +
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU003593шт', ['56,00', '213.920'], '672,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002564шт', ['98,00', '374.360'], '1_176,000')
('SU003609шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU003632шт', ['14,00', '40.320'], '420,000')
('SU000197кг', ['60,00', '312.000'], '300,000')
('SU002920шт', ['48,00', '279.840'], '384,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU002268шт', ['24,00', '125.520'], '120,000')
('SU003024кг', ['90,00', '171.000'], '162,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003010кг', ['72,00', '376.560'], '360,000')
('SU003454кг', ['14,00', '54.320'], '51,800')
('SU003448кг', ['28,00', '89.040'], '84,000')

ООО НВ Тс031604-25 11.02.2025 Брыжахин 1209кг.pdf Бердянск +
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU003459шт', ['72,00', '520.560'], '720,000')
('SU002483кг', ['24,00', '124.800'], '120,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU002268шт', ['12,00', '62.760'], '60,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003454кг', ['42,00', '162.960'], '155,400')

ООО НВ Тс031617-25 11.02.2025 Брыжахин 4524кг.pdf Донецк +
('SU002905шт', ['28,00', '47.040'], '168,000')
('SU003598шт', ['14,00', '23.520'], '84,000')
('SU002903шт', ['42,00', '70.560'], '252,000')
('SU002762шт', ['56,00', '94.080'], '336,000')
('SU003532шт', ['96,00', '694.080'], '960,000')
('SU003531шт', ['24,00', '159.120'], '384,000')
('SU002595кг', ['72,00', '375.336'], '360,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU002558шт', ['14,00', '53.480'], '140,000')
('SU003527шт', ['48,00', '318.240'], '768,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003580шт', ['4,00', '12.880'], '48,000')
('SU003580шт', ['24,00', '77.280'], '288,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU002516шт', ['84,00', '270.480'], '1_008,000')
('SU002514шт', ['70,00', '225.400'], '840,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['96,00', '598.080'], '576,000')
('SU003010кг', ['96,00', '502.080'], '480,000')
('SU003454кг', ['28,00', '108.640'], '103,600')

