ООО НВ ЮТс-00689-25 18.02.2025 Брыжахин 5031кг.pdf
('SU003599шт', ['14,00', '23.520'], '84,000')
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU002904шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU003532шт', ['72,00', '520.560'], '720,000')
('SU002595кг', ['60,00', '312.780'], '300,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU002563шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['28,00', '106.960'], '336,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU002558шт', ['28,00', '106.960'], '280,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003578шт', ['28,00', '90.160'], '336,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['108,00', '561.600'], '540,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU002516шт', ['168,00', '540.960'], '2_016,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003001шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['24,00', '139.920'], '192,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['56,00', '217.280'], '207,200')

ООО НВ ЮТс-00692-25 18.02.2025 Брыжахин 7285кг.pdf
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU003826шт', ['24,00', '139.920'], '192,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['120,00', '625.560'], '600,000')
('SU002563шт', ['28,00', '106.960'], '336,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['20,00', '76.400'], '240,000')
('SU003604шт', ['8,00', '30.560'], '96,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002558шт', ['28,00', '106.960'], '280,000')
('SU002573шт', ['28,00', '65.520'], '672,000')
('SU002570шт', ['60,00', '198.600'], '1_320,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003578шт', ['182,00', '586.040'], '2_184,000')
('SU003580шт', ['126,00', '405.720'], '1_512,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU003632шт', ['14,00', '40.320'], '420,000')
('SU000197кг', ['84,00', '436.800'], '420,000')
('SU002483кг', ['24,00', '124.800'], '120,000')
('SU002514шт', ['28,00', '90.160'], '336,000')
('SU003001шт', ['14,00', '45.080'], '168,000')
('SU003777шт', ['28,00', '73.360'], '336,000')
('SU003722шт', ['28,00', '73.360'], '336,000')
('SU003259шт', ['24,00', '139.920'], '192,000')
('SU003065шт', ['24,00', '139.920'], '192,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003010кг', ['108,00', '564.840'], '540,000')
('SU003454кг', ['70,00', '271.600'], '259,000')
('SU003434кг', ['24,00', '137.520'], '132,000')
('SU003439кг', ['224,00', '869.120'], '828,800')

