ООО НВ Тс037356-25 18.02.2025 Шаов 17358кг.pdf
('SU002756кг', ['12,00', '53.857'], '50,761')
('SU002876кг', ['12,00', '54.111'], '51,099')
('SU002847кг', ['12,00', '54.336'], '51,384')
('SU002848шт', ['4,00', '8.944'], '24,000')
('SU002941кг', ['43,00', '219.809'], '208,199')
('SU002943кг', ['21,00', '107.793'], '102,123')
('SU002945кг', ['43,00', '219.827'], '208,217')
('SU002947кг', ['42,00', '216.989'], '205,649')
('SU002843кг', ['21,00', '175.105'], '164,458')
('SU002795кг', ['30,00', '250.558'], '232,468')
('SU002725кг', ['22,00', '196.578'], '185,424')
('SU002842шт', ['100,00', '264.000'], '600,000')
('SU002621шт', ['40,00', '104.640'], '240,000')
('SU002686шт', ['100,00', '264.000'], '600,000')
('SU002844шт', ['80,00', '211.200'], '480,000')
('SU002759шт', ['6,00', '15.840'], '36,000')
('SU002758шт', ['6,00', '15.840'], '36,000')
('SU001820кг', ['5,00', '22.109'], '20,849')
('SU001051кг', ['6,00', '53.233'], '50,191')
('SU000227кг', ['13,00', '109.480'], '102,889')
('SU003422кг', ['265,00', '4.124.818'], '3_997,618')
('SU003423кг', ['135,00', '2.085.775'], '2_019,625')
('SU003420кг', ['199,00', '3.085.743'], '2_990,223')
('SU000126кг', ['200,00', '3.086.568'], '2_990,568')
('SU000246кг', ['24,00', '219.825'], '207,657')
('SU002287кг', ['49,00', '474.351'], '449,508')
('SU002074кг', ['6,00', '55.317'], '52,275')
('SU002010кг', ['57,00', '321.750'], '301,800')
('SU002035кг', ['58,00', '326.365'], '305,485')
('SU002150кг', ['38,00', '213.130'], '199,830')
('SU002158кг', ['38,00', '214.921'], '201,241')
('SU002151кг', ['19,00', '106.836'], '99,996')
('SU002805кг', ['12,00', '54.617'], '51,665')
('SU002809кг', ['9,00', '40.753'], '38,485')
('SU002655кг', ['126,00', '1.077.032'], '1_013,150')

ООО НВ Тс037356-25 18.02.2025 Шаов 17358кг.pdf
('SU002756кг', ['12,00', '53.857'], '50,761')
('SU002876кг', ['12,00', '54.111'], '51,099')
('SU002847кг', ['12,00', '54.336'], '51,384')
('SU002848шт', ['4,00', '8.944'], '24,000')
('SU002941кг', ['43,00', '219.809'], '208,199')
('SU002943кг', ['21,00', '107.793'], '102,123')
('SU002945кг', ['43,00', '219.827'], '208,217')
('SU002947кг', ['42,00', '216.989'], '205,649')
('SU002843кг', ['21,00', '175.105'], '164,458')
('SU002795кг', ['30,00', '250.558'], '232,468')
('SU002725кг', ['22,00', '196.578'], '185,424')
('SU002842шт', ['100,00', '264.000'], '600,000')
('SU002621шт', ['40,00', '104.640'], '240,000')
('SU002686шт', ['100,00', '264.000'], '600,000')
('SU002844шт', ['80,00', '211.200'], '480,000')
('SU002759шт', ['6,00', '15.840'], '36,000')
('SU002758шт', ['6,00', '15.840'], '36,000')
('SU001820кг', ['5,00', '22.109'], '20,849')
('SU001051кг', ['6,00', '53.233'], '50,191')
('SU000227кг', ['13,00', '109.480'], '102,889')
('SU003422кг', ['265,00', '4.124.818'], '3_997,618')
('SU003423кг', ['135,00', '2.085.775'], '2_019,625')
('SU003420кг', ['199,00', '3.085.743'], '2_990,223')
('SU000126кг', ['200,00', '3.086.568'], '2_990,568')
('SU000246кг', ['24,00', '219.825'], '207,657')
('SU002287кг', ['49,00', '474.351'], '449,508')
('SU002074кг', ['6,00', '55.317'], '52,275')
('SU002010кг', ['57,00', '321.750'], '301,800')
('SU002035кг', ['58,00', '326.365'], '305,485')
('SU002150кг', ['38,00', '213.130'], '199,830')
('SU002158кг', ['38,00', '214.921'], '201,241')
('SU002151кг', ['19,00', '106.836'], '99,996')
('SU002805кг', ['12,00', '54.617'], '51,665')
('SU002809кг', ['9,00', '40.753'], '38,485')
('SU002655кг', ['126,00', '1.077.032'], '1_013,150')

ООО НВ Тс037356-25 18.02.2025 Шаов 17358кг.pdf
('SU002756кг', ['12,00', '53.857'], '50,761')
('SU002876кг', ['12,00', '54.111'], '51,099')
('SU002847кг', ['12,00', '54.336'], '51,384')
