ООО КСК ТРЕЙД Тс041239-25 23.02.2025 Попов 3015кг.pdf
('SU002828кг', ['10,00', '111.884'], '107,534')
('SU003287кг', ['2,00', '19.209'], '18,003')
('SU002835кг', ['3,00', '27.440'], '25,631')
('SU001523кг', ['12,00', '112.128'], '106,044')
('SU002847кг', ['17,00', '77.389'], '73,207')
('SU002660шт', ['17,00', '38.216'], '102,000')
('SU002848шт', ['17,00', '38.012'], '102,000')
('SU002944шт', ['25,00', '48.550'], '150,000')
('SU002942шт', ['17,00', '33.014'], '102,000')
('SU002946шт', ['34,00', '66.028'], '204,000')
('SU002948шт', ['9,00', '17.478'], '54,000')
('SU002618шт', ['59,00', '155.760'], '354,000')
('SU003273кг', ['3,00', '36.050'], '34,745')
('SU003274шт', ['6,00', '25.260'], '60,000')
('SU002801шт', ['50,00', '132.000'], '300,000')
('SU002579шт', ['34,00', '76.432'], '204,000')
('SU001051кг', ['3,00', '27.540'], '26,019')
('SU000227кг', ['26,00', '221.299'], '208,117')
('SU003167шт', ['59,00', '137.706'], '354,000')
('SU003422кг', ['27,00', '420.000'], '407,040')
('SU003423кг', ['34,00', '522.044'], '505,724')
('SU003420кг', ['34,00', '527.787'], '511,467')
('SU003421шт', ['5,00', '26.050'], '50,000')
('SU003425кг', ['7,00', '87.266'], '84,221')
('SU002606шт', ['17,00', '38.216'], '102,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU002634кг', ['11,00', '60.152'], '56,192')
('SU002158кг', ['4,00', '22.512'], '21,072')
('SU002151кг', ['4,00', '22.480'], '21,040')
('SU002970кг', ['4,00', '34.570'], '32,494')

ООО КСК ТРЕЙД Тс041575-25 23.02.2025 Попов 9024кг.pdf
('SU003598шт', ['546,00', '917.280'], '3_276,000')
('SU003532шт', ['24,00', '173.520'], '240,000')
('SU003385шт', ['36,00', '260.280'], '360,000')
('SU003529шт', ['48,00', '347.040'], '480,000')
('SU002593шт', ['14,00', '23.520'], '84,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['84,00', '320.880'], '1_008,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['96,00', '694.080'], '960,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['96,00', '694.080'], '960,000')
('SU002731шт', ['48,00', '318.240'], '384,000')
('SU003578шт', ['70,00', '225.400'], '840,000')
('SU003580шт', ['126,00', '405.720'], '1_512,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['56,00', '180.320'], '672,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['42,00', '135.240'], '504,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU002314кг', ['12,00', '62.400'], '60,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU002516шт', ['84,00', '270.480'], '1_008,000')
('SU002514шт', ['154,00', '495.880'], '1_848,000')
('SU003001шт', ['56,00', '180.320'], '672,000')
('SU003721шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['72,00', '419.760'], '576,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU003291шт', ['12,00', '79.560'], '96,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['48,00', '299.040'], '288,000')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003025кг', ['56,00', '135.520'], '125,440')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['28,00', '89.040'], '84,000')
('SU003439кг', ['28,00', '108.640'], '103,600')

