ООО КСК ТРЕЙД Тс042148-25 25.02.2025 Лихачев 17223кг.pdf
('SU000722кг', ['24,00', '269.585'], '259,145')
('SU001485шт', ['50,00', '210.500'], '500,000')
('SU002829кг', ['19,00', '214.365'], '206,100')
('SU002815шт', ['80,00', '376.800'], '800,000')
('SU002828кг', ['21,00', '234.283'], '225,148')
('SU002814шт', ['42,00', '120.960'], '252,000')
('SU003027шт', ['2,00', '3.884'], '12,000')
('SU003029шт', ['2,00', '3.896'], '12,000')
('SU003031шт', ['2,00', '3.884'], '12,000')
('SU003287кг', ['3,00', '24.489'], '22,680')
('SU002835кг', ['3,00', '26.701'], '24,892')
('SU002830кг', ['19,00', '212.237'], '203,972')
('SU002816шт', ['100,00', '471.000'], '1_000,000')
('SU001523кг', ['17,00', '159.477'], '150,858')
('SU001718шт', ['134,00', '393.960'], '804,000')
('SU002928кг', ['6,00', '71.467'], '68,857')
('SU002734шт', ['70,00', '329.700'], '700,000')
('SU001721кг', ['47,00', '426.759'], '402,930')
('SU001720шт', ['167,00', '490.980'], '1_002,000')
('SU003336шт', ['42,00', '86.184'], '252,000')
('SU002367шт', ['19,00', '42.180'], '114,000')
('SU002983шт', ['19,00', '64.600'], '152,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['13,00', '37.648'], '104,000')
('SU002756кг', ['15,00', '67.916'], '64,136')
('SU002876кг', ['8,00', '36.690'], '34,626')
('SU002847кг', ['12,00', '54.814'], '51,718')
('SU002660шт', ['34,00', '76.432'], '204,000')
('SU002877шт', ['42,00', '94.416'], '252,000')
('SU002848шт', ['50,00', '111.800'], '300,000')
('SU002941кг', ['21,00', '108.074'], '102,404')
('SU002943кг', ['14,00', '71.909'], '68,129')
('SU002945кг', ['32,00', '162.310'], '153,670')
('SU002947кг', ['15,00', '76.610'], '72,560')
('SU002944шт', ['25,00', '48.550'], '150,000')
('SU002942шт', ['17,00', '33.014'], '102,000')
('SU002946шт', ['25,00', '48.550'], '150,000')
('SU002948шт', ['17,00', '33.014'], '102,000')
('SU002725кг', ['14,00', '131.322'], '124,224')
('SU002842шт', ['100,00', '264.000'], '600,000')
('SU002618шт', ['24,00', '63.504'], '144,000')
('SU002618шт', ['76,00', '200.640'], '456,000')
('SU002686шт', ['30,00', '77.400'], '180,000')
('SU002844шт', ['84,00', '221.760'], '504,000')
('SU002759шт', ['10,00', '26.400'], '60,000')
('SU002758шт', ['14,00', '36.744'], '84,000')
('SU003273кг', ['2,00', '24.027'], '23,157')
('SU003271кг', ['3,00', '35.952'], '34,647')
('SU003274шт', ['10,00', '42.100'], '100,000')
('SU002801шт', ['50,00', '130.500'], '300,000')
('SU002799шт', ['84,00', '221.256'], '504,000')
('SU002617шт', ['50,00', '112.400'], '300,000')
('SU003392кг', ['1,00', '11.330'], '10,895')
('SU002579шт', ['34,00', '76.432'], '204,000')
('SU001051кг', ['3,00', '26.231'], '24,710')
('SU000227кг', ['26,00', '221.604'], '208,422')
('SU001430кг', ['2,00', '16.945'], '15,931')
('SU001869шт', ['114,00', '320.340'], '1_710,000')
('SU002252шт', ['5,00', '10.140'], '30,000')
('SU003167шт', ['284,00', '662.856'], '1_704,000')
('SU003168шт', ['200,00', '465.600'], '1_200,000')
('SU003422кг', ['60,00', '935.354'], '906,554')
('SU003423кг', ['48,00', '741.916'], '718,876')
('SU000251кг', ['17,00', '263.747'], '255,587')
('SU003420кг', ['174,00', '2.696.894'], '2_613,374')
('SU003421шт', ['2,00', '10.420'], '20,000')
('SU000126кг', ['46,00', '710.205'], '688,125')
('SU000126кг', ['111,00', '1.683.166'], '1_629,886')
('SU002027шт', ['1,00', '4.210'], '10,000')
('SU000246кг', ['5,00', '46.643'], '44,168')
('SU002287кг', ['3,00', '29.766'], '28,245')
('SU003425кг', ['2,00', '24.970'], '24,100')
('SU002074кг', ['4,00', '37.690'], '35,662')
('SU002538шт', ['14,00', '31.472'], '84,000')
('SU002602шт', ['14,00', '31.472'], '84,000')
('SU002606шт', ['14,00', '31.472'], '84,000')
('SU002612кг', ['2,00', '11.346'], '10,806')
('SU002604шт', ['4,00', '8.968'], '24,000')
('SU003505шт', ['17,00', '31.280'], '102,000')
('SU002011кг', ['16,00', '90.486'], '84,726')
('SU002010кг', ['29,00', '163.795'], '153,355')
('SU002634кг', ['15,00', '82.002'], '76,602')
('SU002632шт', ['25,00', '126.000'], '200,000')
('SU002631шт', ['18,00', '90.720'], '144,000')
('SU002035кг', ['19,00', '106.935'], '100,095')
('SU002150кг', ['10,00', '56.713'], '53,113')
('SU002158кг', ['10,00', '56.305'], '52,905')
('SU002151кг', ['23,00', '129.588'], '121,308')
('SU002919шт', ['3,00', '15.030'], '24,000')
('SU002918шт', ['15,00', '75.150'], '120,000')
('SU003687кг', ['2,00', '17.177'], '15,971')
('SU002655кг', ['125,00', '1.069.796'], '1_006,421')
('SU002970кг', ['3,00', '25.603'], '24,046')

