ООО КСК ТРЕЙД Тс052083-25 08.03.2025 Бугаец 17155кг.pdf
('SU000722кг', ['14,00', '157.743'], '151,653')
('SU001485шт', ['50,00', '210.500'], '500,000')
('SU002829кг', ['13,00', '145.908'], '140,253')
('SU002815шт', ['80,00', '376.800'], '800,000')
('SU002814шт', ['84,00', '241.920'], '504,000')
('SU002830кг', ['10,00', '112.696'], '108,346')
('SU002816шт', ['80,00', '376.800'], '800,000')
('SU001523кг', ['13,00', '111.451'], '104,980')
('SU001718шт', ['150,00', '441.000'], '900,000')
('SU002928кг', ['5,00', '57.061'], '54,886')
('SU002734шт', ['130,00', '612.300'], '1_300,000')
('SU001721кг', ['87,00', '752.131'], '708,022')
('SU001720шт', ['134,00', '393.960'], '804,000')
('SU003336шт', ['17,00', '34.884'], '102,000')
('SU002367шт', ['9,00', '19.980'], '54,000')
('SU002983шт', ['32,00', '108.800'], '256,000')
('SU002985шт', ['15,00', '45.840'], '120,000')
('SU002984шт', ['25,00', '72.400'], '200,000')
('SU002756кг', ['12,00', '54.441'], '51,417')
('SU002876кг', ['8,00', '36.471'], '34,455')
('SU002847кг', ['8,00', '36.215'], '34,151')
('SU002660шт', ['67,00', '150.616'], '402,000')
('SU002877шт', ['67,00', '149.812'], '402,000')
('SU002848шт', ['116,00', '259.376'], '696,000')
('SU002941кг', ['26,00', '134.330'], '127,310')
('SU002943кг', ['14,00', '71.373'], '67,593')
('SU002945кг', ['34,00', '172.087'], '162,907')
('SU002947кг', ['19,00', '96.977'], '91,847')
('SU002944шт', ['45,00', '87.390'], '270,000')
('SU002942шт', ['20,00', '38.840'], '120,000')
('SU002946шт', ['20,00', '38.720'], '120,000')
('SU002948шт', ['17,00', '33.014'], '102,000')
('SU002725кг', ['25,00', '238.895'], '226,220')
('SU002842шт', ['100,00', '264.000'], '600,000')
('SU002618шт', ['134,00', '353.760'], '804,000')
('SU002686шт', ['34,00', '89.760'], '204,000')
('SU002844шт', ['100,00', '264.000'], '600,000')
('SU002759шт', ['15,00', '39.600'], '90,000')
('SU002758шт', ['15,00', '39.600'], '90,000')
('SU003273кг', ['2,00', '23.556'], '22,686')
('SU003271кг', ['6,00', '72.003'], '69,393')
('SU003274шт', ['7,00', '29.470'], '70,000')
('SU003272шт', ['20,00', '84.200'], '200,000')
('SU002801шт', ['34,00', '89.760'], '204,000')
('SU002799шт', ['117,00', '308.178'], '702,000')
('SU002617шт', ['84,00', '188.832'], '504,000')
('SU001051кг', ['8,00', '70.847'], '66,791')
('SU000227кг', ['50,00', '431.404'], '406,054')
('SU001430кг', ['4,00', '35.452'], '33,424')
('SU002092шт', ['14,00', '39.340'], '210,000')
('SU002841шт', ['50,00', '110.000'], '1_000,000')
('SU002368шт', ['50,00', '110.000'], '1_000,000')
('SU002252шт', ['10,00', '20.280'], '60,000')
('SU003167шт', ['417,00', '973.278'], '2_502,000')
('SU003168шт', ['200,00', '465.600'], '1_200,000')
('SU003422кг', ['94,00', '1.461.298'], '1_416,178')
('SU003423кг', ['95,00', '1.465.553'], '1_419,953')
('SU003420кг', ['95,00', '1.466.491'], '1_420,891')
('SU000251кг', ['20,00', '308.311'], '298,711')
('SU003421шт', ['3,00', '15.630'], '30,000')
('SU000126кг', ['67,00', '1.034.701'], '1_002,541')
('SU002027шт', ['2,00', '8.420'], '20,000')
('SU000246кг', ['6,00', '55.702'], '52,660')
('SU002287кг', ['4,00', '36.647'], '34,619')
('SU003425кг', ['5,00', '62.671'], '60,496')
('SU002074кг', ['4,00', '37.340'], '35,312')
('SU002538шт', ['25,00', '56.200'], '150,000')
('SU002602шт', ['5,00', '11.240'], '30,000')
('SU002606шт', ['17,00', '38.216'], '102,000')
('SU002604шт', ['5,00', '11.210'], '30,000')
('SU003345шт', ['4,00', '5.440'], '24,000')
('SU003505шт', ['17,00', '31.280'], '102,000')
('SU002011кг', ['19,00', '107.390'], '100,550')
('SU002010кг', ['38,00', '213.393'], '199,713')
('SU002634кг', ['20,00', '109.938'], '102,738')
('SU002631шт', ['25,00', '126.000'], '200,000')
('SU002035кг', ['19,00', '107.770'], '100,930')
('SU002150кг', ['10,00', '56.501'], '52,901')
('SU002158кг', ['10,00', '56.356'], '52,756')
('SU002151кг', ['23,00', '129.976'], '121,696')
('SU002916шт', ['8,00', '40.080'], '64,000')
('SU002919шт', ['3,00', '15.030'], '24,000')
('SU002918шт', ['25,00', '125.250'], '200,000')
('SU002655кг', ['112,00', '967.951'], '911,167')
('SU002970кг', ['4,00', '35.447'], '33,371')

