ООО КСК ТРЕЙД Тс061000-25 23.03.2025 Гусейнов 2924кг.pdf
('SU002829кг', ['14,00', '158.599'], '152,509')
('SU002815шт', ['50,00', '235.500'], '500,000')
('SU002835кг', ['9,00', '76.703'], '71,276')
('SU001718шт', ['65,00', '191.100'], '390,000')
('SU001718шт', ['2,00', '5.880'], '12,000')
('SU002928кг', ['5,00', '56.315'], '54,140')
('SU001720шт', ['67,00', '196.980'], '402,000')
('SU002983шт', ['15,00', '51.000'], '120,000')
('SU002985шт', ['25,00', '76.400'], '200,000')
('SU002984шт', ['19,00', '55.024'], '152,000')
('SU002756кг', ['10,00', '45.251'], '42,731')
('SU002876кг', ['5,00', '22.980'], '21,720')
('SU002660шт', ['25,00', '55.900'], '150,000')
('SU002877шт', ['34,00', '76.024'], '204,000')
('SU002848шт', ['34,00', '76.024'], '204,000')
('SU002941кг', ['11,00', '56.487'], '53,517')
('SU002943кг', ['12,00', '60.630'], '57,390')
('SU002945кг', ['12,00', '60.840'], '57,816')
('SU002947кг', ['15,00', '77.104'], '73,054')
('SU002942шт', ['9,00', '17.424'], '54,000')
('SU002946шт', ['9,00', '17.424'], '54,000')
('SU002725кг', ['6,00', '54.046'], '51,004')
('SU002842шт', ['59,00', '155.760'], '354,000')
('SU002618шт', ['67,00', '176.880'], '402,000')
('SU002844шт', ['59,00', '155.760'], '354,000')
('SU002759шт', ['20,00', '52.800'], '120,000')
('SU002758шт', ['22,00', '58.080'], '132,000')
('SU002801шт', ['50,00', '132.000'], '300,000')
('SU002799шт', ['50,00', '132.000'], '300,000')
('SU001430кг', ['2,00', '18.622'], '17,608')
('SU002252шт', ['7,00', '14.196'], '42,000')
('SU000251кг', ['4,00', '61.282'], '59,362')
('SU000126кг', ['10,00', '154.243'], '149,443')
('SU000126кг', ['4,00', '62.175'], '60,255')
('SU002287кг', ['3,00', '28.685'], '27,164')
('SU002634кг', ['11,00', '60.056'], '56,096')
('SU002150кг', ['8,00', '45.392'], '42,512')
('SU002158кг', ['4,00', '22.618'], '21,178')
('SU002151кг', ['12,00', '67.608'], '63,288')
('SU002808кг', ['1,00', '12.428'], '11,993')

ООО КСК ТРЕЙД Тс061051-25 23.03.2025 Гусейнов 8780кг.pdf
('SU003598шт', ['140,00', '235.200'], '840,000')
('SU003532шт', ['36,00', '260.280'], '360,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['96,00', '500.448'], '480,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU002564шт', ['28,00', '106.960'], '336,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['126,00', '481.320'], '1_512,000')
('SU003604шт', ['56,00', '213.920'], '672,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU002573шт', ['14,00', '32.760'], '336,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['84,00', '607.320'], '840,000')
('SU003528шт', ['48,00', '318.240'], '768,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003578шт', ['89,00', '286.580'], '1_068,000')
('SU003578шт', ['9,00', '28.980'], '108,000')
('SU003580шт', ['196,00', '631.120'], '2_352,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['42,00', '135.240'], '504,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU003632шт', ['14,00', '43.260'], '420,000')
('SU002314кг', ['12,00', '62.400'], '60,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU002516шт', ['98,00', '315.560'], '1_176,000')
('SU002514шт', ['126,00', '405.720'], '1_512,000')
('SU003795шт', ['56,00', '180.320'], '672,000')
('SU002920шт', ['84,00', '489.720'], '672,000')
('SU003077шт', ['12,00', '69.960'], '96,000')
('SU003067шт', ['24,00', '139.920'], '192,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003291шт', ['12,00', '79.560'], '96,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['60,00', '373.800'], '360,000')
('SU003381шт', ['18,00', '50.400'], '162,000')
('SU003010кг', ['36,00', '188.280'], '180,000')
('SU003025кг', ['56,00', '135.520'], '125,440')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003448кг', ['14,00', '44.520'], '42,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

