ООО НВ ЮТс-01280-25 25.03.2025 Исаков 5263кг.pdf Мелитополь +
('SU003598шт', ['126,00', '211.680'], '756,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003386шт', ['12,00', '79.560'], '192,000')
('SU003532шт', ['36,00', '260.280'], '360,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['12,00', '62.556'], '60,000')
('SU003593шт', ['70,00', '267.400'], '840,000')
('SU003591шт', ['56,00', '213.920'], '672,000')
('SU002564шт', ['42,00', '160.440'], '504,000')
('SU003609шт', ['70,00', '267.400'], '840,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['70,00', '267.400'], '840,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU002570шт', ['36,00', '119.160'], '792,000')
('SU003460шт', ['132,00', '954.360'], '1_320,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003578шт', ['28,00', '90.160'], '336,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU002668шт', ['28,00', '52.080'], '168,000')
('SU000197кг', ['24,00', '124.800'], '120,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002268шт', ['36,00', '188.280'], '180,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003020кг', ['72,00', '448.560'], '432,000')
('SU003010кг', ['36,00', '188.280'], '180,000')
('SU003454кг', ['28,00', '108.640'], '103,600')

ООО НВ ЮТс-01279-25 25.03.2025 Исаков 5462кг.pdf Донецк +
('SU003599шт', ['14,00', '23.520'], '84,000')
('SU003598шт', ['28,00', '47.040'], '168,000')
('SU003597шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003386шт', ['12,00', '79.560'], '192,000')
('SU003532шт', ['204,00', '1.474.920'], '2_040,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['168,00', '641.760'], '2_016,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU003527шт', ['36,00', '238.680'], '576,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['48,00', '347.040'], '480,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU002668шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['48,00', '249.600'], '240,000')
('SU002516шт', ['210,00', '676.200'], '2_520,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003012кг', ['28,00', '80.640'], '75,600')
('SU003010кг', ['24,00', '125.520'], '120,000')
('SU003439кг', ['14,00', '54.320'], '51,800')

ООО НВ ЮТс-01283-25 25.03.2025 Исаков 1769кг.pdf Бердянск +
('SU003598шт', ['70,00', '117.600'], '420,000')
('SU002595кг', ['108,00', '563.004'], '540,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['28,00', '106.960'], '336,000')
('SU003609шт', ['28,00', '106.960'], '336,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['10,00', '38.200'], '120,000')
('SU003604шт', ['4,00', '15.280'], '48,000')
('SU003460шт', ['48,00', '347.040'], '480,000')
('SU003576шт', ['42,00', '135.240'], '504,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003454кг', ['14,00', '54.320'], '51,800')

