ООО НВ ЮТс-01276-25 25.03.2025 Чиндин 10745кг.pdf
('SU003599шт', ['70,00', '117.600'], '420,000')
('SU003598шт', ['70,00', '117.600'], '420,000')
('SU003597шт', ['70,00', '117.600'], '420,000')
('SU003600шт', ['140,00', '235.200'], '840,000')
('SU002708шт', ['252,00', '1.872.360'], '2_016,000')
('SU003385шт', ['202,00', '1.460.460'], '2_020,000')
('SU002624шт', ['84,00', '624.120'], '672,000')
('SU003591шт', ['210,00', '802.200'], '2_520,000')
('SU002564шт', ['210,00', '802.200'], '2_520,000')
('SU003608шт', ['70,00', '267.400'], '840,000')
('SU003609шт', ['42,00', '160.440'], '504,000')
('SU003594шт', ['70,00', '267.400'], '840,000')
('SU003604шт', ['70,00', '267.400'], '840,000')
('SU002293шт', ['42,00', '185.640'], '588,000')
('SU002627шт', ['252,00', '1.872.360'], '2_016,000')
('SU003578шт', ['140,00', '450.800'], '1_680,000')
('SU003580шт', ['140,00', '450.800'], '1_680,000')
('SU003384шт', ['70,00', '225.400'], '840,000')
('SU003576шт', ['70,00', '225.400'], '840,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000195шт', ['42,00', '135.240'], '504,000')
('SU002176шт', ['72,00', '129.600'], '576,000')
('SU002177шт', ['72,00', '152.640'], '576,000')
('SU002668шт', ['140,00', '260.400'], '840,000')

