ООО НВ ЮТс-01377-25 31.03.2025 Ожех 4723кг.pdf Бердянск +
('SU002903шт', ['14,00', '23.520'], '84,000')
('SU002904шт', ['14,00', '23.520'], '84,000')
('SU003385шт', ['48,00', '347.040'], '480,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['120,00', '625.560'], '600,000')
('SU002333шт', ['28,00', '85.680'], '168,000')
('SU002630шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['28,00', '106.960'], '336,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003460шт', ['36,00', '260.280'], '360,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['156,00', '811.200'], '780,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU002514шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU002920шт', ['36,00', '209.880'], '288,000')
('SU003067шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU002268шт', ['48,00', '251.040'], '240,000')
('SU003020кг', ['12,00', '74.760'], '72,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['156,00', '815.880'], '780,000')
('SU003454кг', ['28,00', '108.640'], '103,600')

ООО НВ ЮТс-01374-25 31.03.2025 Ожех 5569кг.pdf Донецк +
('SU002905шт', ['14,00', '23.520'], '84,000')
('SU003598шт', ['56,00', '94.080'], '336,000')
('SU002903шт', ['14,00', '23.520'], '84,000')
('SU002904шт', ['14,00', '23.520'], '84,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003532шт', ['48,00', '347.040'], '480,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['120,00', '625.560'], '600,000')
('SU002454шт', ['14,00', '53.480'], '168,000')
('SU002333шт', ['56,00', '171.360'], '336,000')
('SU002630шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['42,00', '160.440'], '504,000')
('SU003604шт', ['28,00', '106.960'], '336,000')
('SU003460шт', ['12,00', '86.760'], '120,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU003596шт', ['14,00', '45.080'], '168,000')
('SU000197кг', ['120,00', '624.000'], '600,000')
('SU003800шт', ['42,00', '135.240'], '504,000')
('SU002514шт', ['56,00', '180.320'], '672,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['72,00', '136.800'], '129,600')
('SU003020кг', ['84,00', '523.320'], '504,000')
('SU003010кг', ['108,00', '564.840'], '540,000')
('SU003510кг', ['14,00', '44.520'], '42,000')
('SU003454кг', ['42,00', '162.960'], '155,400')
('SU003434кг', ['12,00', '68.760'], '66,000')
('SU003448кг', ['42,00', '133.560'], '126,000')
('SU003439кг', ['112,00', '434.560'], '414,400')

