ООО НВ ЮТс-01475-25 07.04.2025 Решетников 1467кг.pdf Бердянск +
('SU003599шт', ['28,00', '47.040'], '168,000')
('SU003598шт', ['14,00', '23.520'], '84,000')
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU002456шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU002422шт', ['28,00', '106.960'], '336,000')
('SU002571шт', ['28,00', '113.680'], '224,000')
('SU003613шт', ['14,00', '53.480'], '140,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003528шт', ['12,00', '79.560'], '192,000')
('SU003578шт', ['14,00', '45.080'], '168,000')
('SU003580шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002668шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003024кг', ['18,00', '34.200'], '32,400')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003454кг', ['14,00', '54.320'], '51,800')

ООО НВ ЮТс-01474-25 07.04.2025 Решетников 2917кг.pdf Донецк +
('SU003599шт', ['28,00', '47.040'], '168,000')
('SU003598шт', ['42,00', '70.560'], '252,000')
('SU002903шт', ['14,00', '23.520'], '84,000')
('SU002904шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003828шт', ['24,00', '139.920'], '192,000')
('SU003827шт', ['12,00', '69.960'], '96,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU002595кг', ['60,00', '312.780'], '300,000')
('SU002454шт', ['14,00', '53.480'], '168,000')
('SU002456шт', ['28,00', '106.960'], '336,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['42,00', '160.440'], '504,000')
('SU002422шт', ['42,00', '160.440'], '504,000')
('SU003613шт', ['42,00', '160.440'], '420,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['24,00', '173.520'], '240,000')
('SU003580шт', ['56,00', '180.320'], '672,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['28,00', '90.160'], '336,000')
('SU002668шт', ['14,00', '26.040'], '84,000')
('SU000197кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU003024кг', ['36,00', '68.400'], '64,800')
('SU003010кг', ['12,00', '62.760'], '60,000')
('SU003454кг', ['14,00', '54.320'], '51,800')

ООО НВ ЮТс-01473-25 07.04.2025 Решетников 4131кг.pdf Луганск +
('SU003532шт', ['12,00', '86.760'], '120,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['48,00', '250.224'], '240,000')
('SU002456шт', ['14,00', '53.480'], '168,000')
('SU002564шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU002422шт', ['42,00', '160.440'], '504,000')
('SU002571шт', ['14,00', '56.840'], '112,000')
('SU002293шт', ['14,00', '61.880'], '196,000')
('SU003527шт', ['12,00', '79.560'], '192,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU003578шт', ['84,00', '270.480'], '1_008,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002962шт', ['14,00', '82.040'], '168,000')
('SU002176шт', ['12,00', '21.600'], '96,000')
('SU002177шт', ['12,00', '25.440'], '96,000')
('SU002668шт', ['28,00', '52.080'], '168,000')
