ООО НВ Тс082377-25 21.04.2025 Добрилко 9747кг.pdf
('SU003598шт', ['112,00', '188.160'], '672,000')
('SU003827шт', ['36,00', '209.880'], '288,000')
('SU003532шт', ['36,00', '260.280'], '360,000')
('SU003531шт', ['24,00', '159.120'], '384,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['120,00', '625.560'], '600,000')
('SU003593шт', ['14,00', '53.480'], '168,000')
('SU003591шт', ['126,00', '481.320'], '1_512,000')
('SU003607шт', ['56,00', '213.920'], '672,000')
('SU003609шт', ['56,00', '213.920'], '672,000')
('SU003594шт', ['14,00', '53.480'], '168,000')
('SU003604шт', ['84,00', '320.880'], '1_008,000')
('SU002570шт', ['60,00', '198.600'], '1_320,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003527шт', ['24,00', '159.120'], '384,000')
('SU003460шт', ['72,00', '520.560'], '720,000')
('SU003528шт', ['24,00', '159.120'], '384,000')
('SU003459шт', ['144,00', '1.041.120'], '1_440,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003578шт', ['154,00', '495.880'], '1_848,000')
('SU003580шт', ['98,00', '315.560'], '1_176,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['84,00', '270.480'], '1_008,000')
('SU000194шт', ['42,00', '135.240'], '504,000')
('SU000197кг', ['132,00', '686.400'], '660,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003800шт', ['70,00', '225.400'], '840,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU002920шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['36,00', '267.480'], '288,000')
('SU002068шт', ['24,00', '178.320'], '192,000')
('SU002268шт', ['72,00', '376.560'], '360,000')
('SU003320шт', ['24,00', '173.520'], '240,000')
('SU003024кг', ['162,00', '307.800'], '291,600')
('SU003020кг', ['120,00', '747.600'], '720,000')
('SU003012кг', ['70,00', '201.600'], '189,000')
('SU003010кг', ['84,00', '439.320'], '420,000')
('SU003434кг', ['12,00', '68.760'], '66,000')

ООО НВ Тс082402-25 21.04.2025 Добрилко 2932кг.pdf
('SU003599шт', ['56,00', '94.080'], '336,000')
('SU003600шт', ['28,00', '47.040'], '168,000')
('SU003826шт', ['12,00', '69.960'], '96,000')
('SU003827шт', ['24,00', '139.920'], '192,000')
('SU003385шт', ['12,00', '86.760'], '120,000')
('SU002595кг', ['36,00', '187.668'], '180,000')
('SU003607шт', ['14,00', '53.480'], '168,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['14,00', '53.480'], '168,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003717шт', ['12,00', '86.760'], '120,000')
('SU003460шт', ['24,00', '173.520'], '240,000')
('SU003459шт', ['12,00', '86.760'], '120,000')
('SU003727шт', ['14,00', '40.040'], '168,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002668шт', ['14,00', '26.040'], '84,000')
('SU002483кг', ['12,00', '62.400'], '60,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['28,00', '90.160'], '336,000')
('SU003777шт', ['14,00', '36.680'], '168,000')
('SU003259шт', ['12,00', '69.960'], '96,000')
('SU003065шт', ['12,00', '69.960'], '96,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['54,00', '102.600'], '97,200')
('SU003020кг', ['36,00', '224.280'], '216,000')
('SU003012кг', ['14,00', '40.320'], '37,800')
('SU003010кг', ['48,00', '251.040'], '240,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003448кг', ['28,00', '89.040'], '84,000')

