ООО НВ Тс087256-25 28.04.2025 Брыжахин 4827кг.pdf Мелитополь +
('SU003598шт', ['112,00', '188.160'], '672,000')
('SU003828шт', ['12,00', '69.960'], '96,000')
('SU003386шт', ['24,00', '159.120'], '384,000')
('SU003385шт', ['24,00', '173.520'], '240,000')
('SU002595кг', ['84,00', '437.892'], '420,000')
('SU003593шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['98,00', '374.360'], '1_176,000')
('SU003609шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['98,00', '374.360'], '1_176,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')
('SU003384шт', ['14,00', '45.080'], '168,000')
('SU003576шт', ['28,00', '90.160'], '336,000')
('SU000194шт', ['28,00', '90.160'], '336,000')
('SU002668шт', ['112,00', '208.320'], '672,000')
('SU000197кг', ['36,00', '187.200'], '180,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003795шт', ['42,00', '135.240'], '504,000')
('SU002920шт', ['60,00', '349.800'], '480,000')
('SU002066шт', ['12,00', '89.160'], '96,000')
('SU002068шт', ['12,00', '89.160'], '96,000')
('SU003024кг', ['90,00', '171.000'], '162,000')
('SU003010кг', ['132,00', '690.360'], '660,000')
('SU003454кг', ['28,00', '108.640'], '103,600')
('SU003448кг', ['14,00', '44.520'], '42,000')

ООО НВ Тс087295-25 28.04.2025 Брыжахин 1008кг.pdf Донецк +
('SU003827шт', ['72,00', '419.760'], '576,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU003459шт', ['36,00', '260.280'], '360,000')
('SU003580шт', ['84,00', '270.480'], '1_008,000')

ООО НВ Тс087270-25 28.04.2025 Брыжахин 1590кг.pdf Бердянск +
('SU003598шт', ['14,00', '23.520'], '84,000')
('SU003531шт', ['12,00', '79.560'], '192,000')
('SU003529шт', ['12,00', '86.760'], '120,000')
('SU003591шт', ['28,00', '106.960'], '336,000')
('SU003607шт', ['28,00', '106.960'], '336,000')
('SU003608шт', ['14,00', '53.480'], '168,000')
('SU003609шт', ['14,00', '53.480'], '168,000')
('SU003594шт', ['28,00', '106.960'], '336,000')
('SU003604шт', ['28,00', '106.960'], '336,000')
('SU003605шт', ['14,00', '56.840'], '112,000')
('SU003613шт', ['28,00', '106.960'], '280,000')
('SU002570шт', ['12,00', '39.720'], '264,000')
('SU003578шт', ['42,00', '135.240'], '504,000')
('SU003580шт', ['42,00', '135.240'], '504,000')
('SU003384шт', ['28,00', '90.160'], '336,000')
('SU003576шт', ['14,00', '45.080'], '168,000')
('SU000195шт', ['14,00', '45.080'], '168,000')
('SU002668шт', ['14,00', '26.040'], '84,000')
('SU003800шт', ['14,00', '45.080'], '168,000')
('SU003797шт', ['42,00', '135.240'], '504,000')
('SU003795шт', ['14,00', '45.080'], '168,000')
('SU003010кг', ['12,00', '62.760'], '60,000')

