ООО КСК ТРЕЙД Тс087165-25 29.04.2025 Гусев 17181кг.pdf
('SU000722кг', ['10,00', '114.072'], '109,722')
('SU001485шт', ['50,00', '210.500'], '500,000')
('SU002829кг', ['15,00', '169.062'], '162,537')
('SU002829кг', ['13,00', '145.828'], '140,173')
('SU002815шт', ['100,00', '471.000'], '1_000,000')
('SU002828кг', ['7,00', '77.969'], '74,924')
('SU002814шт', ['50,00', '144.000'], '300,000')
('SU002830кг', ['28,00', '314.919'], '302,739')
('SU002816шт', ['100,00', '471.000'], '1_000,000')
('SU001523кг', ['16,00', '138.319'], '130,207')
('SU001718шт', ['167,00', '490.980'], '1_002,000')
('SU002928кг', ['8,00', '88.735'], '85,255')
('SU002734шт', ['100,00', '471.000'], '1_000,000')
('SU001721кг', ['38,00', '327.456'], '308,190')
('SU001720шт', ['167,00', '490.980'], '1_002,000')
('SU003336шт', ['12,00', '24.624'], '72,000')
('SU002367шт', ['9,00', '20.304'], '54,000')
('SU002983шт', ['25,00', '85.000'], '200,000')
('SU002985шт', ['25,00', '76.400'], '200,000')
('SU002984шт', ['32,00', '92.672'], '256,000')
('SU002876кг', ['10,00', '45.834'], '43,314')
('SU002847кг', ['22,00', '100.673'], '95,129')
('SU002660шт', ['25,00', '55.900'], '150,000')
('SU002877шт', ['59,00', '131.924'], '354,000')
('SU002848шт', ['75,00', '167.700'], '450,000')
('SU002941кг', ['28,00', '144.352'], '136,792')
('SU002943кг', ['17,00', '86.319'], '81,729')
('SU002945кг', ['7,00', '35.750'], '33,986')
('SU002947кг', ['24,00', '123.266'], '116,786')
('SU002944шт', ['50,00', '96.800'], '300,000')
('SU002942шт', ['34,00', '65.824'], '204,000')
('SU002946шт', ['42,00', '81.312'], '252,000')
('SU002948шт', ['34,00', '66.028'], '204,000')
('SU002725кг', ['19,00', '172.637'], '163,004')
('SU002842шт', ['117,00', '308.880'], '702,000')
('SU002618шт', ['134,00', '353.760'], '804,000')
('SU002844шт', ['117,00', '308.880'], '702,000')
('SU002759шт', ['17,00', '44.880'], '102,000')
('SU002758шт', ['17,00', '44.880'], '102,000')
('SU003273кг', ['5,00', '59.901'], '57,726')
('SU003275кг', ['1,00', '11.861'], '11,426')
('SU003271кг', ['7,00', '83.917'], '80,872')
('SU003274шт', ['6,00', '25.260'], '60,000')
('SU003272шт', ['10,00', '42.100'], '100,000')
('SU003921шт', ['3,00', '7.290'], '54,000')
('SU002801шт', ['50,00', '132.000'], '300,000')
('SU002799шт', ['100,00', '263.400'], '600,000')
('SU002617шт', ['84,00', '187.824'], '504,000')
('SU001051кг', ['4,00', '33.888'], '31,860')
('SU000227кг', ['45,00', '374.013'], '351,198')
('SU002092шт', ['14,00', '39.340'], '210,000')
('SU001869шт', ['34,00', '95.540'], '510,000')
('SU002841шт', ['75,00', '165.000'], '1_500,000')
('SU002368шт', ['75,00', '165.000'], '1_500,000')
('SU002252шт', ['10,00', '20.280'], '60,000')
('SU003167шт', ['250,00', '583.500'], '1_500,000')
('SU003168шт', ['167,00', '390.780'], '1_002,000')
('SU003422кг', ['100,00', '1.550.473'], '1_502,473')
('SU003423кг', ['67,00', '1.035.723'], '1_003,563')
('SU003420кг', ['167,00', '2.578.840'], '2_498,680')
('SU003421шт', ['5,00', '26.050'], '50,000')
('SU000126кг', ['66,00', '1.032.454'], '1_000,774')
('SU000246кг', ['6,00', '56.740'], '53,122')
('SU003425кг', ['6,00', '74.653'], '72,043')
('SU002074кг', ['1,00', '9.230'], '8,723')
('SU002074кг', ['1,00', '8.891'], '8,288')
('SU002614кг', ['2,00', '11.599'], '11,059')
('SU002538шт', ['27,00', '60.696'], '162,000')
('SU002602шт', ['4,00', '8.944'], '24,000')
('SU002606шт', ['17,00', '38.012'], '102,000')
('SU002604шт', ['2,00', '4.484'], '12,000')
('SU003342шт', ['17,00', '24.480'], '102,000')
('SU002011кг', ['19,00', '106.588'], '99,748')
('SU002634кг', ['15,00', '82.553'], '77,153')
('SU002010кг', ['29,00', '163.953'], '153,513')
('SU002632шт', ['22,00', '110.220'], '176,000')
('SU002631шт', ['27,00', '136.080'], '216,000')
('SU002035кг', ['10,00', '56.416'], '52,816')
('SU002150кг', ['6,00', '33.860'], '31,700')
('SU002158кг', ['10,00', '56.544'], '52,944')
('SU002916шт', ['4,00', '20.040'], '32,000')
('SU002919шт', ['5,00', '25.050'], '40,000')
('SU002918шт', ['5,00', '25.050'], '40,000')
('SU002655кг', ['140,00', '1.285.184'], '1_214,204')

