Ветчина Дугушка Вектор п/а Стародвор.колбасы	5 кг
Ветчина Столичная Филейская Вязанка п/а Стародвор.колбасы	50	кг
Докторская Бордо вар п/а в/с Стародвор.колбасы	150	кг
Докторская по-Стародворски вар Фирменная Стародвор. колбасы	10	кг
Классическая Филейская Вектор вар 450 гр Стародв. колбасы	72	шт
Молочная Бордо вар п/а Стародвор. колбасы	10	кг
Молочная Вектор вар 500 гр Стародвор.кобасы	10	шт
С Индейкой Вязанка вар Стародворские колбасы	10	кг
Особая со шпиком вар ТМ Славница Старод.колбасы	60	кг
Русская Бордо вар п/а Стародв колбасы	20	кг
Салями Финская в/к Вязанка Стародворские колбасы	10	кг
Сардельки Говяжьи Мясные н/о Стародвор. колбасы	60	кг
Салями Мясорубская в/к с рубленым шпиком (Стародворские кобасы)	8	кг
Сервелат Зернистый в/к Стародвор. колбасы	40	кг
Сосиски Баварские Стародворские колбасы	20	кг
Сосиски Ганноверские Стародворские колбасы	170	кг
